medicine_id,medicine_name,strength,use_case,alternative,stock,dosage,manufacturer
1000,Paracetamol,5 mg,allergy,Loratadine,383,three times daily,Intas Pharma
1001,Paracetamol,10 mg,bacterial infection,Prednisone,415,twice daily,Sun Pharma
1002,Paracetamol,20 mg,diarrhea,Budesonide,307,three times daily,Glenmark
1003,Paracetamol,25 mg,diabetes,Fluoxetine,929,once daily,Glenmark
1004,Paracetamol,40 mg,diabetes,Paracetamol,787,once every 8 hours,Torrent Pharma
1005,Paracetamol,50 mg,cholesterol control,Levocetirizine,588,once weekly,Lupin
1006,Paracetamol,75 mg,depression,Salbutamol,393,once weekly,Torrent Pharma
1007,Paracetamol,100 mg,allergy,Gliclazide,47,once daily,Intas Pharma
1008,Paracetamol,150 mg,acid reflux,Risperidone,798,once weekly,Lupin
1009,Paracetamol,200 mg,nausea and vomiting,Hydrochlorothiazide,260,once every 8 hours,Dr. Reddy's
1010,Paracetamol,250 mg,allergy,Glimepiride,808,twice daily,Torrent Pharma
1011,Paracetamol,300 mg,nausea and vomiting,Budesonide,765,once every 8 hours,Lupin
1012,Paracetamol,400 mg,acid reflux,Furosemide,391,once every 8 hours,Glenmark
1013,Paracetamol,500 mg,seizure control,Spironolactone,480,once weekly,Cipla
1014,Paracetamol,600 mg,allergy,Salbutamol,202,twice daily,Alkem Labs
1015,Paracetamol,750 mg,diarrhea,Ondansetron,417,three times daily,Aurobindo Pharma
1016,Paracetamol,1 g,blood thinning,Prednisone,350,once daily,Cipla
1017,Paracetamol,2 g,bacterial infection,Fluoxetine,463,twice daily,Glenmark
1018,Paracetamol,125 mg/5 ml,allergy,Ciprofloxacin,372,once every 8 hours,Zydus Lifesciences
1019,Paracetamol,250 mg/5 ml,blood thinning,Gabapentin,588,three times daily,Intas Pharma
1020,Paracetamol,500 mg/5 ml,acid reflux,Domperidone,564,once every 8 hours,Zydus Lifesciences
1021,Ibuprofen,5 mg,seizure control,Atorvastatin,669,once daily,Dr. Reddy's
1022,Ibuprofen,10 mg,diarrhea,Gliclazide,882,three times daily,Torrent Pharma
1023,Ibuprofen,20 mg,bacterial infection,Fluoxetine,950,once daily,Torrent Pharma
1024,Ibuprofen,25 mg,acid reflux,Olanzapine,164,once weekly,Cipla
1025,Ibuprofen,40 mg,nausea and vomiting,Pioglitazone,156,twice daily,Glenmark
